id,image_url,image_url_small,image_url_cropped,name,upscaled_image
3828844,https://images.ygoprodeck.com/images/cards/3828844.jpg,https://images.ygoprodeck.com/images/cards_small/3828844.jpg,https://images.ygoprodeck.com/images/cards_cropped/3828844.jpg,Rikka Queen Strenna, 
68941332,https://images.ygoprodeck.com/images/cards/68941332.jpg,https://images.ygoprodeck.com/images/cards_small/68941332.jpg,https://images.ygoprodeck.com/images/cards_cropped/68941332.jpg,Rikka Sheet, 
32557233,https://images.ygoprodeck.com/images/cards/32557233.jpg,https://images.ygoprodeck.com/images/cards_small/32557233.jpg,https://images.ygoprodeck.com/images/cards_cropped/32557233.jpg,Rikka Tranquility, 
72498838,https://images.ygoprodeck.com/images/cards/72498838.jpg,https://images.ygoprodeck.com/images/cards_small/72498838.jpg,https://images.ygoprodeck.com/images/cards_cropped/72498838.jpg,"Rilliona, the Magistus of Verre", 
74689476,https://images.ygoprodeck.com/images/cards/74689476.jpg,https://images.ygoprodeck.com/images/cards_small/74689476.jpg,https://images.ygoprodeck.com/images/cards_cropped/74689476.jpg,"Rilliona, the Wondrous Magistus Witch Wardrobe", 
51409648,https://images.ygoprodeck.com/images/cards/51409648.jpg,https://images.ygoprodeck.com/images/cards_small/51409648.jpg,https://images.ygoprodeck.com/images/cards_cropped/51409648.jpg,Rindbrumm the Striking Dragon,./Images Database/51409648.png
19544412,https://images.ygoprodeck.com/images/cards/19544412.jpg,https://images.ygoprodeck.com/images/cards_small/19544412.jpg,https://images.ygoprodeck.com/images/cards_cropped/19544412.jpg,Ring Announcer, 
58641905,https://images.ygoprodeck.com/images/cards/58641905.jpg,https://images.ygoprodeck.com/images/cards_small/58641905.jpg,https://images.ygoprodeck.com/images/cards_cropped/58641905.jpg,Ring of Defense,./Images Database/58641905.png
83555666,https://images.ygoprodeck.com/images/cards/83555666.jpg,https://images.ygoprodeck.com/images/cards_small/83555666.jpg,https://images.ygoprodeck.com/images/cards_cropped/83555666.jpg,Ring of Destruction,./Images Database/83555666.png
83555667,https://images.ygoprodeck.com/images/cards/83555667.jpg,https://images.ygoprodeck.com/images/cards_small/83555667.jpg,https://images.ygoprodeck.com/images/cards_cropped/83555667.jpg,Ring of Destruction,./Images Database/83555667.png
20436034,https://images.ygoprodeck.com/images/cards/20436034.jpg,https://images.ygoprodeck.com/images/cards_small/20436034.jpg,https://images.ygoprodeck.com/images/cards_cropped/20436034.jpg,Ring of Magnetism, 
30765615,https://images.ygoprodeck.com/images/cards/30765615.jpg,https://images.ygoprodeck.com/images/cards_small/30765615.jpg,https://images.ygoprodeck.com/images/cards_cropped/30765615.jpg,"Ringowurm, the Dragon Guarding the Hundred Apples", 
38815069,https://images.ygoprodeck.com/images/cards/38815069.jpg,https://images.ygoprodeck.com/images/cards_small/38815069.jpg,https://images.ygoprodeck.com/images/cards_cropped/38815069.jpg,"Rinyan, Lightsworn Rogue", 
34016756,https://images.ygoprodeck.com/images/cards/34016756.jpg,https://images.ygoprodeck.com/images/cards_small/34016756.jpg,https://images.ygoprodeck.com/images/cards_cropped/34016756.jpg,Riryoku, 
70344351,https://images.ygoprodeck.com/images/cards/70344351.jpg,https://images.ygoprodeck.com/images/cards_small/70344351.jpg,https://images.ygoprodeck.com/images/cards_cropped/70344351.jpg,Riryoku Field, 
96661780,https://images.ygoprodeck.com/images/cards/96661780.jpg,https://images.ygoprodeck.com/images/cards_small/96661780.jpg,https://images.ygoprodeck.com/images/cards_cropped/96661780.jpg,Riryoku Guardian, 
300302017,https://images.ygoprodeck.com/images/cards/300302017.jpg,https://images.ygoprodeck.com/images/cards_small/300302017.jpg,https://images.ygoprodeck.com/images/cards_cropped/300302017.jpg,Rise of the Fallen, 
38784726,https://images.ygoprodeck.com/images/cards/38784726.jpg,https://images.ygoprodeck.com/images/cards_small/38784726.jpg,https://images.ygoprodeck.com/images/cards_cropped/38784726.jpg,Rise of the Salamangreat, 
16067089,https://images.ygoprodeck.com/images/cards/16067089.jpg,https://images.ygoprodeck.com/images/cards_small/16067089.jpg,https://images.ygoprodeck.com/images/cards_cropped/16067089.jpg,Rise of the Snake Deity, 
